mode,secondID,time,speed (m/s),lat,lon
martabus,0,09:38:31,5.12379607422,33.73781,-84.24623
martabus,1,09:38:32,5.12379607422,33.7378087863,-84.2461747213
martabus,2,09:38:33,5.12379607422,33.7378075726,-84.2461194426
martabus,3,09:38:34,5.12379607422,33.7378063589,-84.2460641639
martabus,4,09:38:35,5.12379607422,33.7378051452,-84.2460088852
martabus,5,09:38:36,5.12379607422,33.7378039315,-84.2459536066
martabus,6,09:38:37,5.12379607422,33.7378027178,-84.2458983279
martabus,7,09:38:38,5.12379607422,33.7378015041,-84.2458430492
martabus,8,09:38:39,5.12379607422,33.7378002904,-84.2457877705
martabus,9,09:38:40,5.12379607422,33.7377990767,-84.2457324918
martabus,10,09:38:41,5.12379607422,33.7377975533,-84.2456772242
martabus,11,09:38:42,5.12379607422,33.7377960091,-84.2456219573
martabus,12,09:38:43,5.12379607422,33.7377944649,-84.2455666905
martabus,13,09:38:44,5.12379607422,33.7377929207,-84.2455114236
martabus,14,09:38:45,5.12379607422,33.7377913764,-84.2454561567
martabus,15,09:38:46,5.12379607422,33.7377898322,-84.2454008899
martabus,16,09:38:47,5.12379607422,33.737788288,-84.245345623
martabus,17,09:38:48,5.12379607422,33.7377867438,-84.2452903561
martabus,18,09:38:49,5.12379607422,33.7377851996,-84.2452350893
martabus,19,09:38:50,5.12379607422,33.7377836553,-84.2451798224
